>>> bench-local
# Thu, 22 Feb 2018 16:29:54 +0300
# neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
# Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
# cpu: Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
# cpu[0-7]: freq: intel_pstate/performance [1.60GHz - 3.90GHz]
# cpu[0-7]: idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
# cpu: WARNING: frequency not fixed - benchmark timings won't be stable
# cpu: WARNING: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
# sda: Samsung SSD 840   rev BB0Q 931.5G
# eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth0: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth0: coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
# eth0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth0: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# eth0: WARNING: RX coalesce latency is max 200μs - that will add to networked request-reply latency
# eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth1: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth1: coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
# eth1: down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth1: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# Python 2.7.14+
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
# neo             : v1.8-1552-g4bcbc04d
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkrio/pystone 1 175562 pystone/s	# POLL·0 C1·9 C1E·7 C3·7 C6·149
Benchmarkrio/pystone 1 185401 pystone/s	# POLL·0 C1·33 C1E·3 C3·6 C6·162
Benchmarkrio/pystone 1 176984 pystone/s	# POLL·0 C1·5 C1E·10 C3·2 C6·178
Benchmarkrio/pystone 1 179955 pystone/s	# POLL·0 C1·8 C1E·6 C3·3 C6·164
Benchmarkrio/pystone 1 182050 pystone/s	# POLL·0 C1·29 C1E·4 C3·4 C6·146
Benchmarkrio/disk/randread/direct/2M-min 1 7.46 ms/op
Benchmarkrio/disk/randread/direct/2M-avg 1 7.51 ms/op
< 7.46 ms	0	| 
< 7.47 ms	48	| ******
< 7.47 ms	55	| ******
< 7.47 ms	0	| 
< 7.48 ms	1	| 
< 7.48 ms	0	| 
< 7.48 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	2	| 
< 7.50 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	2	| 
< 7.51 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	3	| 
< 7.53 ms	101	| ************
< 7.53 ms	80	| **********
<       +∞	7	| 
# POLL·0 C1·37 C1E·9 C3·1 C6·1026

*** disk: random cached 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
3.22 M requests completed in 2.83 s, 12.3 GiB read, 1.14 M iops, 4.35 GiB/s
generated 3.22 M requests in 3.00 s, 12.3 GiB, 1.07 M iops, 4.10 GiB/s
min/avg/max/mdev = 441 ns / 876 ns / 34.0 us / 179 ns
Benchmarkrio/disk/randread/pagecache/4K-min 1 441 ns/op
Benchmarkrio/disk/randread/pagecache/4K-avg 1 876 ns/op
< 854 ns	1416952	| *********************
< 927 ns	1303730	| ********************
< 1.00 us	228533	| ***
< 1.07 us	117139	| *
< 1.15 us	95146	| *
< 1.22 us	49580	| 
< 1.29 us	8835	| 
< 1.37 us	1666	| 
< 1.44 us	238	| 
< 1.52 us	46	| 
< 1.59 us	11	| 
< 1.66 us	13	| 
< 1.74 us	2	| 
< 1.81 us	1	| 
< 1.89 us	3	| 
< 1.96 us	2	| 
< 2.03 us	0	| 
< 2.11 us	1	| 
< 2.18 us	2	| 
< 2.25 us	3	| 
< 2.33 us	0	| 
<       +∞	872	| 
# POLL·0 C1·16 C1E·7 C3·7 C6·299

--- . (ext4 /dev/sda1) ioping statistics ---
3.24 M requests completed in 2.82 s, 12.4 GiB read, 1.15 M iops, 4.38 GiB/s
generated 3.24 M requests in 3.00 s, 12.4 GiB, 1.08 M iops, 4.12 GiB/s
min/avg/max/mdev = 439 ns / 871 ns / 34.0 us / 184 ns
Benchmarkrio/disk/randread/pagecache/4K-min 1 439 ns/op
Benchmarkrio/disk/randread/pagecache/4K-avg 1 871 ns/op
< 764 ns	232286	| ***
< 1.25 us	2999216	| **********************************************
< 1.73 us	5858	| 
< 2.21 us	13	| 
< 2.69 us	3	| 
< 3.17 us	1	| 
< 3.65 us	2	| 
< 4.13 us	1	| 
< 4.61 us	1	| 
< 5.09 us	1	| 
< 5.58 us	1	| 
< 6.06 us	4	| 
< 6.54 us	2	| 
< 7.02 us	1	| 
< 7.50 us	1	| 
< 7.98 us	24	| 
< 8.46 us	61	| 
< 8.94 us	56	| 
< 9.42 us	80	| 
< 9.90 us	155	| 
< 10.4 us	53	| 
<       +∞	477	| 
# POLL·0 C1·4 C1E·14 C3·5 C6·375

--- . (ext4 /dev/sda1) ioping statistics ---
3.23 M requests completed in 2.82 s, 12.3 GiB read, 1.14 M iops, 4.36 GiB/s
generated 3.23 M requests in 3.00 s, 12.3 GiB, 1.08 M iops, 4.10 GiB/s
min/avg/max/mdev = 440 ns / 874 ns / 22.9 us / 180 ns
Benchmarkrio/disk/randread/pagecache/4K-min 1 440 ns/op
Benchmarkrio/disk/randread/pagecache/4K-avg 1 874 ns/op
< 822 ns	811503	| ************
< 850 ns	598458	| *********
< 878 ns	539176	| ********
< 906 ns	566256	| ********
< 934 ns	264668	| ****
< 962 ns	93015	| *
< 990 ns	63226	| 
< 1.02 us	51434	| 
< 1.05 us	45931	| 
< 1.07 us	39953	| 
< 1.10 us	39034	| 
< 1.13 us	34513	| 
< 1.16 us	32301	| 
< 1.19 us	22462	| 
< 1.22 us	12235	| 
< 1.24 us	6289	| 
< 1.27 us	2909	| 
< 1.30 us	1649	| 
< 1.33 us	889	| 
< 1.35 us	459	| 
< 1.38 us	230	| 
<       +∞	1127	| 
# POLL·0 C1·24 C1E·5 C3·5 C6·305

--- . (ext4 /dev/sda1) ioping statistics ---
3.25 M requests completed in 2.82 s, 12.4 GiB read, 1.15 M iops, 4.39 GiB/s
generated 3.25 M requests in 3.00 s, 12.4 GiB, 1.08 M iops, 4.13 GiB/s
min/avg/max/mdev = 442 ns / 868 ns / 35.1 us / 176 ns
Benchmarkrio/disk/randread/pagecache/4K-min 1 442 ns/op
Benchmarkrio/disk/randread/pagecache/4K-avg 1 868 ns/op
< 769 ns	313577	| ****
< 803 ns	284501	| ****
< 838 ns	700122	| **********
< 872 ns	657344	| **********
< 907 ns	686590	| **********
< 942 ns	218710	| ***
< 976 ns	87635	| *
< 1.01 us	63773	| 
< 1.05 us	54841	| 
< 1.08 us	46069	| 
< 1.11 us	44214	| 
< 1.15 us	40172	| 
< 1.18 us	26787	| 
< 1.22 us	13372	| 
< 1.25 us	5467	| 
< 1.29 us	2366	| 
< 1.32 us	1102	| 
< 1.36 us	453	| 
< 1.39 us	192	| 
< 1.43 us	62	| 
< 1.46 us	23	| 
<       +∞	905	| 
# POLL·0 C1·35 C1E·15 C3·1 C6·247

--- . (ext4 /dev/sda1) ioping statistics ---
3.23 M requests completed in 2.82 s, 12.3 GiB read, 1.14 M iops, 4.37 GiB/s
generated 3.23 M requests in 3.00 s, 12.3 GiB, 1.08 M iops, 4.11 GiB/s
min/avg/max/mdev = 441 ns / 873 ns / 33.5 us / 176 ns
Benchmarkrio/disk/randread/pagecache/4K-min 1 441 ns/op
Benchmarkrio/disk/randread/pagecache/4K-avg 1 873 ns/op
< 752 ns	108104	| *
< 786 ns	316155	| ****
< 820 ns	391744	| ******
< 854 ns	668577	| **********
< 888 ns	703717	| **********
< 922 ns	524897	| ********
< 956 ns	148044	| **
< 990 ns	78382	| *
< 1.02 us	60820	| 
< 1.06 us	52388	| 
< 1.09 us	47778	| 
< 1.13 us	43565	| 
< 1.16 us	39158	| 
< 1.20 us	24270	| 
< 1.23 us	11635	| 
< 1.26 us	4595	| 
< 1.30 us	2179	| 
< 1.33 us	977	| 
< 1.36 us	423	| 
< 1.40 us	156	| 
< 1.43 us	71	| 
<       +∞	973	| 
# POLL·0 C1·18 C1E·5 C3·8 C6·341

*** disk: random cached 2M-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
14.0 k requests completed in 3.00 s, 27.4 GiB read, 4.68 k iops, 9.13 GiB/s
generated 14.0 k requests in 3.00 s, 27.4 GiB, 4.67 k iops, 9.13 GiB/s
min/avg/max/mdev = 129.8 us / 213.8 us / 279.2 us / 7.14 us
Benchmarkrio/disk/randread/pagecache/2M-min 1 129.8 us/op
Benchmarkrio/disk/randread/pagecache/2M-avg 1 213.8 us/op
< 131.1 us	10	| 
< 137.4 us	13	| 
< 143.8 us	3	| 
< 150.1 us	1	| 
< 156.4 us	14	| 
< 162.8 us	9	| 
< 169.1 us	1	| 
< 175.4 us	2	| 
< 181.8 us	2	| 
< 188.1 us	16	| 
< 194.4 us	1	| 
< 200.7 us	2	| 
< 207.1 us	22	| 
< 213.4 us	8613	| ******************************
< 219.7 us	4001	| **************
< 226.1 us	839	| **
< 232.4 us	103	| 
< 238.7 us	46	| 
< 245.1 us	121	| 
< 251.4 us	63	| 
< 257.7 us	24	| 
<       +∞	13	| 
# POLL·0 C1·28 C1E·11 C3·3 C6·914

--- . (ext4 /dev/sda1) ioping statistics ---
14.0 k requests completed in 3.00 s, 27.3 GiB read, 4.67 k iops, 9.12 GiB/s
generated 14.0 k requests in 3.00 s, 27.3 GiB, 4.66 k iops, 9.11 GiB/s
min/avg/max/mdev = 130.0 us / 214.3 us / 292.5 us / 7.10 us
Benchmarkrio/disk/randread/pagecache/2M-min 1 130.0 us/op
Benchmarkrio/disk/randread/pagecache/2M-avg 1 214.3 us/op
< 207.8 us	116	| 
< 211.7 us	2193	| *******
< 215.5 us	8440	| ******************************
< 219.4 us	1891	| ******
< 223.3 us	566	| **
< 227.1 us	427	| *
< 231.0 us	41	| 
< 234.9 us	14	| 
< 238.7 us	23	| 
< 242.6 us	56	| 
< 246.5 us	61	| 
< 250.3 us	29	| 
< 254.2 us	22	| 
< 258.1 us	7	| 
< 261.9 us	1	| 
< 265.8 us	4	| 
< 269.6 us	0	| 
< 273.5 us	0	| 
< 277.4 us	0	| 
< 281.2 us	0	| 
< 285.1 us	0	| 
<       +∞	1	| 
# POLL·0 C1·8 C1E·2 C3·5 C6·743

--- . (ext4 /dev/sda1) ioping statistics ---
14.0 k requests completed in 3.00 s, 27.4 GiB read, 4.67 k iops, 9.13 GiB/s
generated 14.0 k requests in 3.00 s, 27.4 GiB, 4.67 k iops, 9.12 GiB/s
min/avg/max/mdev = 130.1 us / 213.9 us / 291.2 us / 7.32 us
Benchmarkrio/disk/randread/pagecache/2M-min 1 130.1 us/op
Benchmarkrio/disk/randread/pagecache/2M-avg 1 213.9 us/op
< 209.2 us	205	| 
< 212.0 us	4937	| *****************
< 214.8 us	4424	| ***************
< 217.6 us	2493	| ********
< 220.4 us	762	| **
< 223.2 us	531	| *
< 226.0 us	238	| 
< 228.8 us	110	| 
< 231.6 us	25	| 
< 234.4 us	15	| 
< 237.2 us	14	| 
< 240.1 us	29	| 
< 242.8 us	37	| 
< 245.7 us	23	| 
< 248.4 us	13	| 
< 251.2 us	21	| 
< 254.1 us	15	| 
< 256.9 us	6	| 
< 259.6 us	3	| 
< 262.4 us	5	| 
< 265.3 us	1	| 
<       +∞	6	| 
# POLL·0 C1·31 C1E·4 C3·2 C6·579

--- . (ext4 /dev/sda1) ioping statistics ---
14.1 k requests completed in 3.00 s, 27.4 GiB read, 4.69 k iops, 9.15 GiB/s
generated 14.1 k requests in 3.00 s, 27.4 GiB, 4.68 k iops, 9.15 GiB/s
min/avg/max/mdev = 128.4 us / 213.4 us / 281.3 us / 6.82 us
Benchmarkrio/disk/randread/pagecache/2M-min 1 128.4 us/op
Benchmarkrio/disk/randread/pagecache/2M-avg 1 213.4 us/op
< 204.2 us	98	| 
< 207.7 us	15	| 
< 211.2 us	3042	| **********
< 214.7 us	7741	| ***************************
< 218.2 us	1850	| ******
< 221.7 us	418	| *
< 225.2 us	520	| *
< 228.8 us	59	| 
< 232.3 us	19	| 
< 235.8 us	17	| 
< 239.3 us	25	| 
< 242.8 us	43	| 
< 246.3 us	36	| 
< 249.9 us	24	| 
< 253.4 us	26	| 
< 256.9 us	10	| 
< 260.4 us	5	| 
< 263.9 us	0	| 
< 267.4 us	1	| 
< 270.9 us	1	| 
< 274.5 us	0	| 
<       +∞	1	| 
# POLL·0 C1·35 C1E·9 C3·6 C6·623

--- . (ext4 /dev/sda1) ioping statistics ---
14.0 k requests completed in 3.00 s, 27.3 GiB read, 4.67 k iops, 9.12 GiB/s
generated 14 k requests in 3.00 s, 27.3 GiB, 4.67 k iops, 9.11 GiB/s
min/avg/max/mdev = 129.3 us / 214.2 us / 280.9 us / 6.67 us
Benchmarkrio/disk/randread/pagecache/2M-min 1 129.3 us/op
Benchmarkrio/disk/randread/pagecache/2M-avg 1 214.2 us/op
< 208.3 us	107	| 
< 210.7 us	1458	| *****
< 213.0 us	5834	| ********************
< 215.3 us	2799	| *********
< 217.6 us	1890	| ******
< 220.0 us	590	| **
< 222.3 us	460	| *
< 224.6 us	272	| 
< 226.9 us	122	| 
< 229.3 us	55	| 
< 231.6 us	18	| 
< 233.9 us	12	| 
< 236.2 us	16	| 
< 238.6 us	22	| 
< 240.9 us	58	| 
< 243.2 us	56	| 
< 245.5 us	53	| 
< 247.9 us	19	| 
< 250.2 us	14	| 
< 252.5 us	16	| 
< 254.8 us	10	| 
<       +∞	18	| 
# POLL·0 C1·15 C1E·15 C3·5 C6·946

dataset:	wczblk1-8

*** generating fs1 data...
I: RAM:  15.57GB
I: WORK: 0.01GB
gen signal t=0...1.05e+06  float64  (= 0.01GB) 
gen signal blk [0:1048576]  (100.0%)
VIRT: 431 MB	RSS: 48MB

*** generating sqlite data...
2018-02-22 16:33:49.3830 ERROR     NEO        [       handler: 59] unexpected packet: Retry Later in PrimaryBootstrapHandler
2018-02-22 16:33:49.3833 ERROR     NEO        [           app:241] Connection to None lost
I: RAM:  15.57GB
I: WORK: 0.01GB
gen signal t=0...1.05e+06  float64  (= 0.01GB) 
gen signal blk [0:1048576]  (100.0%)
VIRT: 544 MB	RSS: 58MB
2018-02-22 16:33:51.1525 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** generating sql data...
2018-02-22 16:33:51 140107785533440 [Note] /usr/sbin/mysqld (mysqld 10.1.29-MariaDB-6) starting as process 26906 ...
2018-02-22 16:33:55 140415864387584 [Note] /usr/sbin/mysqld (mysqld 10.1.29-MariaDB-6) starting as process 26934 ...
2018-02-22 16:33:58 140234225522688 [Note] /usr/sbin/mysqld (mysqld 10.1.29-MariaDB-6) starting as process 26963 ...
2018-02-22 16:34:01 140682935797760 [Note] mysqld (mysqld 10.1.29-MariaDB-6) starting as process 26990 ...
2018-02-22 16:34:02.3737 ERROR     NEO        [           app:241] Connection to None lost
I: RAM:  15.57GB
I: WORK: 0.01GB
gen signal t=0...1.05e+06  float64  (= 0.01GB) 
gen signal blk [0:1048576]  (100.0%)
VIRT: 545 MB	RSS: 59MB
2018-02-22 16:34:04.8826 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** FileStorage
Benchmarkrio/fs1/zhash.py 1 22.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.048s	# POLL·0 C1·36 C1E·6 C3·3 C6·208
Benchmarkrio/fs1/zhash.py 1 22.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.049s	# POLL·0 C1·34 C1E·7 C3·3 C6·218
Benchmarkrio/fs1/zhash.py 1 22.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.048s	# POLL·0 C1·20 C1E·3 C3·5 C6·217
Benchmarkrio/fs1/zhash.py 1 22.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.049s	# POLL·0 C1·33 C1E·2 C3·3 C6·241
Benchmarkrio/fs1/zhash.py 1 23.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.049s	# POLL·0 C1·25 C1E·1 C3·4 C6·221

# 16 clients in parallel
Benchmarkrio/fs1/zhash.py-P16 1 43.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.093s
Benchmarkrio/fs1/zhash.py-P16 1 88.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.189s
Benchmarkrio/fs1/zhash.py-P16 1 44.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.095s
Benchmarkrio/fs1/zhash.py-P16 1 55.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.118s
Benchmarkrio/fs1/zhash.py-P16 1 44.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.096s
Benchmarkrio/fs1/zhash.py-P16 1 89.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.190s
Benchmarkrio/fs1/zhash.py-P16 1 83.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.178s
Benchmarkrio/fs1/zhash.py-P16 1 89.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.189s
Benchmarkrio/fs1/zhash.py-P16 1 45.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.096s
Benchmarkrio/fs1/zhash.py-P16 1 62.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.132s
Benchmarkrio/fs1/zhash.py-P16 1 59.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.127s
Benchmarkrio/fs1/zhash.py-P16 1 54.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.115s
Benchmarkrio/fs1/zhash.py-P16 1 55.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.117s
Benchmarkrio/fs1/zhash.py-P16 1 48.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.104s
Benchmarkrio/fs1/zhash.py-P16 1 45.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.096s
Benchmarkrio/fs1/zhash.py-P16 1 53.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.115s
# POLL·0 C1·39 C1E·6 C3·4 C6·109

Benchmarkrio/fs1/zhash.go 1 3.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.202572ms	# POLL·0 C1·37 C1E·65 C3·5 C6·97
Benchmarkrio/fs1/zhash.go 1 3.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.154513ms	# POLL·0 C1·15 C1E·68 C3·11 C6·90
Benchmarkrio/fs1/zhash.go 1 3.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.150234ms	# POLL·0 C1·32 C1E·65 C3·8 C6·101
Benchmarkrio/fs1/zhash.go 1 3.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.087038ms	# POLL·0 C1·24 C1E·67 C3·3 C6·98
Benchmarkrio/fs1/zhash.go 1 3.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.074278ms	# POLL·0 C1·29 C1E·68 C3·11 C6·95
Benchmarkrio/fs1/zhash.go+prefetch128 1 4.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.871051ms	# POLL·0 C1·154 C1E·277 C3·69 C6·117
Benchmarkrio/fs1/zhash.go+prefetch128 1 4.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.832189ms	# POLL·0 C1·137 C1E·252 C3·61 C6·145
Benchmarkrio/fs1/zhash.go+prefetch128 1 4.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.513287ms	# POLL·0 C1·150 C1E·321 C3·51 C6·88
Benchmarkrio/fs1/zhash.go+prefetch128 1 4.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.766133ms	# POLL·1 C1·186 C1E·291 C3·68 C6·101
Benchmarkrio/fs1/zhash.go+prefetch128 1 4.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=8.490332ms	# POLL·1 C1·145 C1E·191 C3·57 C6·140

# 16 clients in parallel
Benchmarkrio/fs1/zhash.go-P16 1 6.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=13.988432ms
Benchmarkrio/fs1/zhash.go-P16 1 6.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=13.937878ms
Benchmarkrio/fs1/zhash.go-P16 1 6.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.248069ms
Benchmarkrio/fs1/zhash.go-P16 1 7.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=15.057846ms
Benchmarkrio/fs1/zhash.go-P16 1 6.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.244471ms
Benchmarkrio/fs1/zhash.go-P16 1 8.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=17.192569ms
Benchmarkrio/fs1/zhash.go-P16 1 6.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.205914ms
Benchmarkrio/fs1/zhash.go-P16 1 10.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=21.842839ms
Benchmarkrio/fs1/zhash.go-P16 1 7.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=15.847185ms
Benchmarkrio/fs1/zhash.go-P16 1 6.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.550817ms
Benchmarkrio/fs1/zhash.go-P16 1 7.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=15.304625ms
Benchmarkrio/fs1/zhash.go-P16 1 6.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.076588ms
Benchmarkrio/fs1/zhash.go-P16 1 6.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=14.223029ms
Benchmarkrio/fs1/zhash.go-P16 1 16.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=35.164255ms
Benchmarkrio/fs1/zhash.go-P16 1 6.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=13.491282ms
Benchmarkrio/fs1/zhash.go-P16 1 5.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=12.03761ms
# POLL·4 C1·65 C1E·44 C3·15 C6·111

*** ZEO
Benchmarkrio/zeo/zhash.py 1 340.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.724s	# POLL·0 C1·30587 C1E·1699 C3·2106 C6·417
Benchmarkrio/zeo/zhash.py 1 342.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.728s	# POLL·1 C1·30597 C1E·1710 C3·2045 C6·293
Benchmarkrio/zeo/zhash.py 1 340.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.724s	# POLL·1 C1·27341 C1E·739 C3·2113 C6·364
Benchmarkrio/zeo/zhash.py 1 350.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.747s	# POLL·0 C1·29553 C1E·1538 C3·2126 C6·318
Benchmarkrio/zeo/zhash.py 1 338.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.721s	# POLL·1 C1·30907 C1E·1538 C3·2069 C6·358

# 16 clients in parallel
Benchmarkrio/zeo/zhash.py-P16 1 1306.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=2.779s
Benchmarkrio/zeo/zhash.py-P16 1 1303.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=2.773s
Benchmarkrio/zeo/zhash.py-P16 1 1345.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=2.864s
Benchmarkrio/zeo/zhash.py-P16 1 1526.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.249s
Benchmarkrio/zeo/zhash.py-P16 1 1611.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.430s
Benchmarkrio/zeo/zhash.py-P16 1 1627.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.463s
Benchmarkrio/zeo/zhash.py-P16 1 1659.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.531s
Benchmarkrio/zeo/zhash.py-P16 1 1703.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.624s
Benchmarkrio/zeo/zhash.py-P16 1 1708.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.635s
Benchmarkrio/zeo/zhash.py-P16 1 1744.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.711s
Benchmarkrio/zeo/zhash.py-P16 1 1849.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.935s
Benchmarkrio/zeo/zhash.py-P16 1 1823.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.880s
Benchmarkrio/zeo/zhash.py-P16 1 1732.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.686s
Benchmarkrio/zeo/zhash.py-P16 1 1753.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.732s
Benchmarkrio/zeo/zhash.py-P16 1 1754.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.734s
Benchmarkrio/zeo/zhash.py-P16 1 1760.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.746s
# POLL·15 C1·371409 C1E·14016 C3·63 C6·200
(skipping zhash.go on ZEO -- Cgo does not support zeo:// protocol)

*** NEO/py sqlite
unexpected packet: Retry Later in PrimaryBootstrapHandler
Connection to None lost
Benchmarkrio/neo/py/sqlite/zhash.py 1 287.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.611s
# POLL·1 C1·2642 C1E·10177 C3·75 C6·2938
Benchmarkrio/neo/py/sqlite/zhash.py 1 282.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.601s	# POLL·1 C1·5045 C1E·8780 C3·89 C6·3012
Benchmarkrio/neo/py/sqlite/zhash.py 1 276.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.589s	# POLL·0 C1·8386 C1E·8905 C3·1102 C6·1107
Benchmarkrio/neo/py/sqlite/zhash.py 1 270.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.576s	# POLL·2 C1·11736 C1E·8275 C3·874 C6·379
Benchmarkrio/neo/py/sqlite/zhash.py 1 280.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.597s	# POLL·1 C1·1744 C1E·10352 C3·63 C6·2848

# 16 clients in parallel
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2115.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.501s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2272.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.836s
