>>> bench-local
# Wed, 28 Feb 2018 11:14:55 +0200
# neotest@z6001.ivan.nexedi.com (2401:5180:0:6f::1 192.168.0.16)
# Linux z6001-COMP-2784 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
# cpu: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
# cpu[0-23]: freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
# cpu[0-23]: idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
# cpu: WARNING: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
# sda: ADATA SU800       rev 8BS  119,2G
# enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
# enp1s0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# enp1s0: coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
# enp1s0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# enp1s0: WARNING: RX coalesce latency is max 20μs - that will add to networked request-reply latency
# Python 2.7.12
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
# neo             : v1.8-1563-gfe8fd50-dirty
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkz6001-COMP-2784/pystone 1 112206 pystone/s	# POLL·0 C1·96 C1E·1 C3·23 C6·396
Benchmarkz6001-COMP-2784/pystone 1 114783 pystone/s	# POLL·0 C1·89 C1E·0 C3·15 C6·461
Benchmarkz6001-COMP-2784/pystone 1 114558 pystone/s	# POLL·1 C1·87 C1E·7 C3·27 C6·490
Benchmarkz6001-COMP-2784/pystone 1 113271 pystone/s	# POLL·0 C1·80 C1E·0 C3·17 C6·389
Benchmarkz6001-COMP-2784/pystone 1 115634 pystone/s	# POLL·0 C1·74 C1E·3 C3·19 C6·468
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-36 10000	7667.5 req/s  4695.139 latency-µs/object	# POLL·20 C1·2159 C1E·38435 C3·12962 C6·3232
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-36 10000	7628.2 req/s  4719.356 latency-µs/object	# POLL·28 C1·2151 C1E·38873 C3·11498 C6·4427

# 48 clients in parallel
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-48 10000	7425.8 req/s  6463.975 latency-µs/object	# POLL·21 C1·2456 C1E·36076 C3·15167 C6·3270
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-48 10000	7714.5 req/s  6222.070 latency-µs/object	# POLL·34 C1·2127 C1E·38244 C3·12566 C6·4355
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-48 10000	7725.7 req/s  6213.043 latency-µs/object	# POLL·24 C1·2139 C1E·37615 C3·13805 C6·3510
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-48 10000	7605.0 req/s  6311.643 latency-µs/object	# POLL·28 C1·2158 C1E·37861 C3·12718 C6·4579
Benchmarkz6001-COMP-2784/zeo/py/fs1/zwrk.go-48 10000	7567.4 req/s  6342.982 latency-µs/object	# POLL·34 C1·2366 C1E·35035 C3·16096 C6·3393

*** NEO/py sqlite
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.py 2127 664.2 µs/object	# crc32:14640593  nread=8540363  t=1.414s	# POLL·2 C1·3001 C1E·1556 C3·7132 C6·2947
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.py 2127 731.5 µs/object	# crc32:14640593  nread=8540363  t=1.557s	# POLL·0 C1·149 C1E·8 C3·7617 C6·1577
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.py 2127 731.4 µs/object	# crc32:14640593  nread=8540363  t=1.556s	# POLL·2 C1·133 C1E·3 C3·7138 C6·2083
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.py 2127 635.5 µs/object	# crc32:14640593  nread=8540363  t=1.352s	# POLL·3 C1·607 C1E·243 C3·11034 C6·1429
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.py 2127 725.9 µs/object	# crc32:14640593  nread=8540363  t=1.545s	# POLL·0 C1·171 C1E·6 C3·8437 C6·756

Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go 2127 371.9 µs/object	# crc32:14640593  nread=8540363  t=791.314726ms	# POLL·0 C1·100 C1E·6795 C3·6537 C6·2463
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go 2127 347.4 µs/object	# crc32:14640593  nread=8540363  t=739.252648ms	# POLL·2 C1·121 C1E·5133 C3·6054 C6·1776
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go 2127 376.1 µs/object	# crc32:14640593  nread=8540363  t=800.294833ms	# POLL·0 C1·104 C1E·7451 C3·5543 C6·3036
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go 2127 308.6 µs/object	# crc32:14640593  nread=8540363  t=656.654584ms	# POLL·1 C1·90 C1E·4336 C3·5760 C6·1787
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go 2127 378.9 µs/object	# crc32:14640593  nread=8540363  t=806.357666ms	# POLL·1 C1·119 C1E·7050 C3·4720 C6·4345
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go+prefetch128 2127 215.1 µs/object	# crc32:14640593  nread=8540363  t=457.7044ms	# POLL·5 C1·693 C1E·6470 C3·3041 C6·2238
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go+prefetch128 2127 208.9 µs/object	# crc32:14640593  nread=8540363  t=444.615593ms	# POLL·5 C1·813 C1E·6623 C3·4005 C6·1171
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go+prefetch128 2127 201.6 µs/object	# crc32:14640593  nread=8540363  t=428.945413ms	# POLL·10 C1·802 C1E·6816 C3·3057 C6·1815
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go+prefetch128 2127 205.2 µs/object	# crc32:14640593  nread=8540363  t=436.741105ms	# POLL·3 C1·809 C1E·7711 C3·1575 C6·2786
Benchmarkz6001-COMP-2784/neo/py/sqlite/zhash.go+prefetch128 2127 208.8 µs/object	# crc32:14640593  nread=8540363  t=444.283117ms	# POLL·4 C1·720 C1E·7668 C3·1704 C6·2738

# 1 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-1 5000	3025.1 req/s  330.572 latency-µs/object	# POLL·2 C1·133 C1E·15422 C3·21925 C6·6604
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-1 5000	3176.1 req/s  314.847 latency-µs/object	# POLL·5 C1·150 C1E·18446 C3·13570 C6·10196
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-1 5000	3248.9 req/s  307.795 latency-µs/object	# POLL·11 C1·172 C1E·22029 C3·18710 C6·6171
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-1 5000	3488.7 req/s  286.639 latency-µs/object	# POLL·3 C1·149 C1E·27881 C3·11833 C6·8877
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-1 5000	2842.1 req/s  351.851 latency-µs/object	# POLL·3 C1·164 C1E·21199 C3·15863 C6·8517

# 2 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-2 10000	4906.7 req/s  407.606 latency-µs/object	# POLL·4 C1·127 C1E·34644 C3·22011 C6·8533
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-2 10000	4895.9 req/s  408.503 latency-µs/object	# POLL·3 C1·134 C1E·36958 C3·18415 C6·10589
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-2 10000	4905.1 req/s  407.736 latency-µs/object	# POLL·5 C1·183 C1E·39677 C3·18167 C6·7534
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-2 10000	4894.7 req/s  408.602 latency-µs/object	# POLL·1 C1·161 C1E·38936 C3·19361 C6·6753
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-2 10000	4917.7 req/s  406.694 latency-µs/object	# POLL·5 C1·139 C1E·42015 C3·20079 C6·7664

# 4 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-4 10000	4880.4 req/s  819.602 latency-µs/object	# POLL·7 C1·179 C1E·36557 C3·18295 C6·11876
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-4 5000	4890.1 req/s  817.986 latency-µs/object	# POLL·5 C1·194 C1E·20720 C3·15558 C6·4318
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-4 10000	4877.2 req/s  820.148 latency-µs/object	# POLL·4 C1·171 C1E·28105 C3·26805 C6·5838
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-4 10000	4697.2 req/s  851.572 latency-µs/object	# POLL·7 C1·157 C1E·36744 C3·19290 C6·9642
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-4 10000	4997.2 req/s  800.455 latency-µs/object	# POLL·9 C1·171 C1E·41105 C3·16480 C6·7424

# 8 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-8 10000	4974.0 req/s  1608.352 latency-µs/object	# POLL·8 C1·233 C1E·36006 C3·24398 C6·5099
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-8 10000	4993.1 req/s  1602.219 latency-µs/object	# POLL·11 C1·166 C1E·34167 C3·25710 C6·5178
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-8 10000	4759.6 req/s  1680.819 latency-µs/object	# POLL·7 C1·205 C1E·41351 C3·22036 C6·6658
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-8 5000	4768.5 req/s  1677.670 latency-µs/object	# POLL·5 C1·161 C1E·25134 C3·11998 C6·5227
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-8 5000	4857.1 req/s  1647.074 latency-µs/object	# POLL·3 C1·159 C1E·20531 C3·16624 C6·4079

# 16 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-16 10000	4839.9 req/s  3305.825 latency-µs/object	# POLL·1 C1·274 C1E·31546 C3·27098 C6·6772
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-16 10000	4835.4 req/s  3308.896 latency-µs/object	# POLL·9 C1·190 C1E·30539 C3·27431 C6·6178
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-16 10000	4853.7 req/s  3296.459 latency-µs/object	# POLL·7 C1·201 C1E·33829 C3·24149 C6·6081
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-16 5000	4880.8 req/s  3278.149 latency-µs/object	# POLL·7 C1·1976 C1E·18945 C3·13809 C6·4375
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-16 10000	4833.7 req/s  3310.113 latency-µs/object	# POLL·14 C1·236 C1E·31301 C3·29940 C6·4346

# 24 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-24 10000	4818.9 req/s  4980.386 latency-µs/object	# POLL·19 C1·268 C1E·29357 C3·28492 C6·5847
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-24 10000	4870.3 req/s  4927.805 latency-µs/object	# POLL·13 C1·238 C1E·39026 C3·17944 C6·10788
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-24 10000	4860.2 req/s  4938.035 latency-µs/object	# POLL·13 C1·230 C1E·33405 C3·24421 C6·7608
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-24 10000	4584.5 req/s  5235.008 latency-µs/object	# POLL·13 C1·230 C1E·28980 C3·27649 C6·5716
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-24 10000	4956.4 req/s  4842.273 latency-µs/object	# POLL·11 C1·332 C1E·47109 C3·21932 C6·5878

# 36 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-36 5000	4947.5 req/s  7276.409 latency-µs/object	# POLL·17 C1·265 C1E·22024 C3·16491 C6·5675
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-36 10000	4849.9 req/s  7422.764 latency-µs/object	# POLL·9 C1·274 C1E·35958 C3·26477 C6·7712
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-36 10000	4837.5 req/s  7441.837 latency-µs/object	# POLL·19 C1·327 C1E·33427 C3·27505 C6·5506
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-36 10000	4849.2 req/s  7423.832 latency-µs/object	# POLL·5 C1·295 C1E·29738 C3·30437 C6·4806
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-36 5000	4774.1 req/s  7540.720 latency-µs/object	# POLL·18 C1·258 C1E·17673 C3·15960 C6·5760

# 48 clients in parallel
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-48 10000	4797.3 req/s  10005.638 latency-µs/object	# POLL·21 C1·291 C1E·34576 C3·28983 C6·5637
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-48 10000	4830.6 req/s  9936.616 latency-µs/object	# POLL·18 C1·255 C1E·37877 C3·20569 C6·10341
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-48 10000	4900.8 req/s  9794.385 latency-µs/object	# POLL·25 C1·253 C1E·26852 C3·29737 C6·4918
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-48 10000	4806.3 req/s  9986.963 latency-µs/object	# POLL·17 C1·379 C1E·38408 C3·23150 C6·8171
Benchmarkz6001-COMP-2784/neo/py/sqlite/zwrk.go-48 10000	4752.4 req/s  10100.198 latency-µs/object	# POLL·13 C1·221 C1E·27117 C3·27991 C6·7472
2018-02-28 11:27:08.3183 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** NEO/py sqlite (logging disabled)
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.py 2127 633.9 µs/object	# crc32:14640593  nread=8540363  t=1.349s	# POLL·4 C1·120 C1E·11 C3·8514 C6·840
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.py 2127 706.9 µs/object	# crc32:14640593  nread=8540363  t=1.504s	# POLL·3 C1·217 C1E·32 C3·8403 C6·707
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.py 2127 647.0 µs/object	# crc32:14640593  nread=8540363  t=1.377s	# POLL·0 C1·235 C1E·60 C3·7941 C6·1316
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.py 2127 703.2 µs/object	# crc32:14640593  nread=8540363  t=1.496s	# POLL·0 C1·160 C1E·8 C3·7643 C6·1514
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.py 2127 677.8 µs/object	# crc32:14640593  nread=8540363  t=1.442s	# POLL·1 C1·77 C1E·5 C3·7310 C6·1884

Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go 2127 341.5 µs/object	# crc32:14640593  nread=8540363  t=726.647191ms	# POLL·1 C1·77 C1E·4420 C3·5610 C6·3545
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go 2127 302.9 µs/object	# crc32:14640593  nread=8540363  t=644.621838ms	# POLL·3 C1·306 C1E·9539 C3·2547 C6·2471
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go 2127 349.8 µs/object	# crc32:14640593  nread=8540363  t=744.30146ms	# POLL·2 C1·88 C1E·5031 C3·7937 C6·1129
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go 2127 358.7 µs/object	# crc32:14640593  nread=8540363  t=763.243597ms	# POLL·6 C1·93 C1E·4344 C3·7356 C6·2749
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go 2127 315.3 µs/object	# crc32:14640593  nread=8540363  t=670.855922ms	# POLL·1 C1·110 C1E·5500 C3·4689 C6·3165
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go+prefetch128 2127 177.6 µs/object	# crc32:14640593  nread=8540363  t=377.886443ms	# POLL·6 C1·747 C1E·7927 C3·2597 C6·1367
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go+prefetch128 2127 176.9 µs/object	# crc32:14640593  nread=8540363  t=376.535038ms	# POLL·5 C1·669 C1E·9196 C3·1824 C6·1420
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go+prefetch128 2127 179.2 µs/object	# crc32:14640593  nread=8540363  t=381.408681ms	# POLL·5 C1·769 C1E·9248 C3·1593 C6·1667
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go+prefetch128 2127 176.1 µs/object	# crc32:14640593  nread=8540363  t=374.697327ms	# POLL·8 C1·733 C1E·9101 C3·1518 C6·1656
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zhash.go+prefetch128 2127 175.6 µs/object	# crc32:14640593  nread=8540363  t=373.691393ms	# POLL·3 C1·784 C1E·8625 C3·2133 C6·1398

# 1 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-1 5000	3374.5 req/s  296.339 latency-µs/object	# POLL·11 C1·199 C1E·18473 C3·16898 C6·7023
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-1 5000	2929.9 req/s  341.312 latency-µs/object	# POLL·2 C1·166 C1E·16672 C3·21072 C6·8187
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-1 5000	3203.0 req/s  312.209 latency-µs/object	# POLL·3 C1·112 C1E·15927 C3·18185 C6·7947
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-1 5000	3117.5 req/s  320.774 latency-µs/object	# POLL·6 C1·122 C1E·15939 C3·19048 C6·9426
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-1 10000	3231.2 req/s  309.487 latency-µs/object	# POLL·6 C1·207 C1E·24137 C3·33790 C6·14238

# 2 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-2 10000	5602.2 req/s  357.001 latency-µs/object	# POLL·2 C1·156 C1E·51214 C3·10159 C6·6006
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-2 10000	5612.4 req/s  356.353 latency-µs/object	# POLL·5 C1·146 C1E·47383 C3·13160 C6·4770
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-2 10000	5556.1 req/s  359.965 latency-µs/object	# POLL·7 C1·137 C1E·44776 C3·16566 C6·3733
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-2 10000	5580.3 req/s  358.405 latency-µs/object	# POLL·11 C1·180 C1E·47812 C3·11107 C6·4625
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-2 10000	5604.4 req/s  356.865 latency-µs/object	# POLL·6 C1·163 C1E·44507 C3·15745 C6·4105

# 4 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-4 10000	5610.2 req/s  712.993 latency-µs/object	# POLL·8 C1·154 C1E·38937 C3·18626 C6·5175
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-4 10000	5630.0 req/s  710.476 latency-µs/object	# POLL·8 C1·149 C1E·37302 C3·19673 C6·5824
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-4 10000	5579.8 req/s  716.875 latency-µs/object	# POLL·5 C1·202 C1E·41172 C3·17306 C6·5113
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-4 10000	5570.5 req/s  718.065 latency-µs/object	# POLL·7 C1·215 C1E·48390 C3·11739 C6·6044
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-4 10000	5551.0 req/s  720.593 latency-µs/object	# POLL·3 C1·160 C1E·43179 C3·15082 C6·4914

# 8 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-8 10000	5586.2 req/s  1432.111 latency-µs/object	# POLL·13 C1·793 C1E·37077 C3·19216 C6·6763
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-8 10000	5586.7 req/s  1431.965 latency-µs/object	# POLL·10 C1·245 C1E·40283 C3·18721 C6·3741
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-8 10000	5717.3 req/s  1399.252 latency-µs/object	# POLL·4 C1·213 C1E·48817 C3·13880 C6·3019
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-8 10000	5534.0 req/s  1445.601 latency-µs/object	# POLL·7 C1·165 C1E·31046 C3·24919 C6·3660
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-8 10000	5532.0 req/s  1446.127 latency-µs/object	# POLL·12 C1·179 C1E·43528 C3·16301 C6·5394

# 16 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-16 10000	5588.7 req/s  2862.935 latency-µs/object	# POLL·15 C1·228 C1E·32692 C3·24298 C6·4509
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-16 10000	5574.2 req/s  2870.361 latency-µs/object	# POLL·8 C1·286 C1E·34542 C3·22156 C6·6732
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-16 10000	5589.5 req/s  2862.522 latency-µs/object	# POLL·15 C1·426 C1E·36791 C3·23784 C6·4915
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-16 10000	5590.3 req/s  2862.086 latency-µs/object	# POLL·7 C1·342 C1E·33040 C3·25040 C6·6535
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-16 10000	5717.3 req/s  2798.540 latency-µs/object	# POLL·16 C1·356 C1E·38199 C3·21315 C6·4681

# 24 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-24 10000	5542.6 req/s  4330.095 latency-µs/object	# POLL·15 C1·332 C1E·40946 C3·19517 C6·4962
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-24 10000	5569.5 req/s  4309.151 latency-µs/object	# POLL·19 C1·454 C1E·41525 C3·19785 C6·4187
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-24 10000	5502.1 req/s  4361.954 latency-µs/object	# POLL·17 C1·344 C1E·47748 C3·11995 C6·5558
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-24 10000	5270.1 req/s  4554.012 latency-µs/object	# POLL·23 C1·365 C1E·38184 C3·20957 C6·4507
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-24 10000	5123.7 req/s  4684.087 latency-µs/object	# POLL·14 C1·247 C1E·42897 C3·19501 C6·4988

# 36 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-36 10000	5559.6 req/s  6475.307 latency-µs/object	# POLL·12 C1·402 C1E·51473 C3·8772 C6·7584
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-36 10000	5548.9 req/s  6487.818 latency-µs/object	# POLL·16 C1·403 C1E·49288 C3·9833 C6·8253
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-36 10000	5622.2 req/s  6403.212 latency-µs/object	# POLL·21 C1·966 C1E·43608 C3·16209 C6·7241
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-36 10000	5591.8 req/s  6438.020 latency-µs/object	# POLL·12 C1·235 C1E·27072 C3·25788 C6·6280
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-36 10000	5548.1 req/s  6488.752 latency-µs/object	# POLL·7 C1·977 C1E·48166 C3·13656 C6·8558

# 48 clients in parallel
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-48 10000	5204.1 req/s  9223.428 latency-µs/object	# POLL·18 C1·365 C1E·27971 C3·30888 C6·3257
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-48 10000	5505.6 req/s  8718.353 latency-µs/object	# POLL·15 C1·379 C1E·35163 C3·24202 C6·5286
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-48 10000	5522.4 req/s  8691.891 latency-µs/object	# POLL·18 C1·490 C1E·44738 C3·18175 C6·6527
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-48 10000	5481.2 req/s  8757.190 latency-µs/object	# POLL·4 C1·436 C1E·33992 C3·28519 C6·3753
Benchmarkz6001-COMP-2784/neo/py(!log)/sqlite/zwrk.go-48 10000	5597.4 req/s  8575.408 latency-µs/object	# POLL·11 C1·666 C1E·39836 C3·21786 C6·6942
2018-02-28 11:29:47.0568 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** NEO/py sql
2018-02-28 11:29:47 139868243713408 [Note] mysqld (mysqld 10.1.25-MariaDB-1) starting as process 7039 ...
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.py 2127 1354.1 µs/object	# crc32:14640593  nread=8540363  t=2.881s	# POLL·2 C1·163 C1E·39 C3·14513 C6·6203
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.py 2127 1024.4 µs/object	# crc32:14640593  nread=8540363  t=2.180s	# POLL·1 C1·183 C1E·1008 C3·12928 C6·6846
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.py 2127 986.1 µs/object	# crc32:14640593  nread=8540363  t=2.098s	# POLL·3 C1·78 C1E·1882 C3·12742 C6·3518
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.py 2127 967.5 µs/object	# crc32:14640593  nread=8540363  t=2.059s	# POLL·1 C1·93 C1E·1909 C3·11171 C6·4984
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.py 2127 879.8 µs/object	# crc32:14640593  nread=8540363  t=1.872s	# POLL·1 C1·166 C1E·2140 C3·13166 C6·2752

Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go 2127 442.3 µs/object	# crc32:14640593  nread=8540363  t=941.246556ms	# POLL·1 C1·1032 C1E·8299 C3·7191 C6·5877
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go 2127 472.7 µs/object	# crc32:14640593  nread=8540363  t=1.005813181s	# POLL·1 C1·142 C1E·10371 C3·7611 C6·3987
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go 2127 468.1 µs/object	# crc32:14640593  nread=8540363  t=996.217534ms	# POLL·2 C1·118 C1E·8956 C3·11695 C6·1487
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go 2127 388.0 µs/object	# crc32:14640593  nread=8540363  t=825.689791ms	# POLL·3 C1·3903 C1E·11339 C3·5219 C6·1835
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go 2127 471.5 µs/object	# crc32:14640593  nread=8540363  t=1.003246988s	# POLL·3 C1·184 C1E·10884 C3·6186 C6·5239
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go+prefetch128 2127 284.2 µs/object	# crc32:14640593  nread=8540363  t=604.776832ms	# POLL·3 C1·4090 C1E·5541 C3·4820 C6·6343
Benchmarkz6001-COMP-2784/neo/py/sql/zhash.go+prefetch128 2127 316.2 µs/object	# crc32:14640593  nread=8540363  t=672.87966ms	# POLL·4 C1·2321 C1E·7413 C3·5427 C6·6063
